  1.3063e+01   3.7693e-05   8.5610e-06   3.3287e-05   1.2162e-06   2.4726e-05   5.1997e-06   1.2958e-06   8.4907e-07   1.7912e-03
  1.3757e+01   4.6166e-05   9.5169e-06   4.4118e-05   1.1002e-06   3.5401e-05   5.4129e-06   1.3394e-06   8.6396e-07   1.6202e-03
  1.4450e+01   5.6437e-05   1.0557e-05   5.7651e-05   1.0003e-06   4.8742e-05   5.6427e-06   1.3859e-06   8.7954e-07   1.4732e-03
  1.5144e+01   6.4173e-05   1.1346e-05   7.0142e-05   9.1362e-07   6.1005e-05   5.8915e-06   1.4357e-06   8.9587e-07   1.3455e-03
  1.5838e+01   8.2015e-05   1.2899e-05   7.5241e-05   8.3793e-07   6.5840e-05   6.1609e-06   1.4890e-06   9.1299e-07   1.2340e-03
  1.6532e+01   7.3821e-05   1.2284e-05   6.9673e-05   7.7147e-07   5.9972e-05   6.4532e-06   1.5460e-06   9.3092e-07   1.1361e-03
  1.7225e+01   4.3689e-05   9.4938e-06   5.7369e-05   7.1289e-07   4.7329e-05   6.7703e-06   1.6072e-06   9.4969e-07   1.0498e-03
  1.7919e+01   4.6269e-05   9.7800e-06   4.4539e-05   6.6084e-07   3.4119e-05   7.1160e-06   1.6730e-06   9.6940e-07   9.7318e-04
  1.8613e+01   3.8338e-05   8.9368e-06   3.4625e-05   6.1447e-07   2.3783e-05   7.4934e-06   1.7438e-06   9.9007e-07   9.0488e-04
  1.9306e+01   3.5554e-05   8.5996e-06   2.8098e-05   5.7303e-07   1.6788e-05   7.9054e-06   1.8200e-06   1.0117e-06   8.4385e-04
  2.0000e+01   3.0156e-05   7.9937e-06   2.4115e-05   5.3575e-07   1.2284e-05   8.3579e-06   1.9023e-06   1.0345e-06   7.8895e-04
  2.0694e+01   2.1726e-05   6.6704e-06   2.1764e-05   5.0214e-07   9.3570e-06   8.8554e-06   1.9913e-06   1.0584e-06   7.3944e-04
  2.1388e+01   2.1421e-05   6.6302e-06   2.0419e-05   4.7173e-07   7.3718e-06   9.4038e-06   2.0878e-06   1.0836e-06   6.9466e-04
  2.2081e+01   1.4392e-05   5.4444e-06   1.9721e-05   4.4416e-07   5.9653e-06   1.0009e-05   2.1923e-06   1.1100e-06   6.5407e-04
  2.2775e+01   1.2111e-05   4.9920e-06   1.9473e-05   4.1904e-07   4.9280e-06   1.0682e-05   2.3062e-06   1.1378e-06   6.1707e-04
  2.3469e+01   9.0919e-06   4.3285e-06   1.9566e-05   3.9610e-07   4.1415e-06   1.1431e-05   2.4304e-06   1.1670e-06   5.8329e-04
